project_id,project_name,country,status,approval_date,closing_date,lending_instrument,approved_amount,currency,url,raw_project_name
P507760,SVG DRM Cat-DDO,St. Vincent and the Grenadines,Pipeline,,,Development Policy Lending,0.0,,https://projects.worldbank.org/en/projects-operations/project-detail/P507760,"""SVG DRM Cat-DDO"""
P171640,SVG Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option,St. Vincent and the Grenadines,Dropped,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P171640,"""SVG Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option"""
P169956,Second Fiscal Reform and Resilience Development Policy Credit with a Cat DDO,St. Vincent and the Grenadines,Closed,2020-06-25T00:00:00Z,6/30/2023 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P169956,"""Second Fiscal Reform and Resilience Development Policy Credit with a Cat DDO"""
P180881,Tajikistan Disaster Risk Management Development Policy Financing with Cat DDO,Tajikistan,Pipeline,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P180881,"""Tajikistan Disaster Risk Management Development Policy Financing with Cat DDO"""
P501960,TZ- Cat DDO,Tanzania,Pipeline,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P501960,"""TZ- Cat DDO"""
P507912,URT Cat DDO,Tanzania,Pipeline,,,Development Policy Lending,0.0,,https://projects.worldbank.org/en/projects-operations/project-detail/P507912,"""URT Cat DDO"""
P179813,"Tonga First Fiscal, Disaster, and Climate Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option",Tonga,Active,2024-01-19T00:00:00Z,12/31/2026 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P179813,"""Tonga First Fiscal, Disaster, and Climate Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option"""
P179820,Tuvalu First Climate and Disaster Resilience Development Policy Financing with a Catastrophe Deferred Drawdown Option,Tuvalu,Active,2023-09-22T00:00:00Z,10/30/2026 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P179820,"""Tuvalu First Climate and Disaster Resilience Development Policy Financing with a Catastrophe Deferred Drawdown Option"""
P506285,VAN DPF Cat DDO,Vanuatu,Pipeline,,,Development Policy Lending,0.0,,https://projects.worldbank.org/en/projects-operations/project-detail/P506285,"""VAN DPF Cat DDO"""
P168749,Vanuatu Disaster Risk Management Development Policy Grant with a Catastrophe-Deferred Drawdown Option (CAT-DDO),Vanuatu,Closed,2020-01-07T00:00:00Z,6/30/2023 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P168749,"""Vanuatu Disaster Risk Management Development Policy Grant with a Catastrophe-Deferred Drawdown Option (CAT-DDO)"""
P176930,Vanuatu Second Disaster Risk Management Development Policy Grant with a Catastrophe Deferred Drawdown Option,Vanuatu,Active,2022-06-22T00:00:00Z,6/30/2025 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P176930,"""Vanuatu Second Disaster Risk Management Development Policy Grant with a Catastrophe Deferred Drawdown Option"""
P507116,First Zambia Climate and Economic Resilience Programmatic DPF with Cat-DDO,Zambia,Active,2024-12-18T00:00:00Z,12/31/2027 12:00:00 AM,Development Policy Lending,0.0,,https://projects.worldbank.org/en/projects-operations/project-detail/P507116,"""First Zambia Climate and Economic Resilience Programmatic DPF with Cat-DDO"""
