iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed
GRD,Grenada,2008,2,2008-02,2008-02-01,68.21255138762783,2.3521569444009596,12.882647297220018,23.212561342731213,34.90669879670187,11.178774054279897,12.549864541110194,0,0,29
GRD,Grenada,2008,3,2008-03,2008-03-01,38.70048050522523,1.2484025969427492,9.846636080010457,16.01810314889708,16.018103148897083,7.382941947239596,9.559250433024213,0,0,31
GRD,Grenada,2008,4,2008-04,2008-04-01,70.840322302892,2.361344076763067,45.14657684216637,46.56985073278937,47.41903091512402,12.256865250714378,38.101063703938564,2,0,30
GRD,Grenada,2008,5,2008-05,2008-05-01,51.94098374322856,1.675515604620276,36.547531421077956,36.547531421077956,36.54753142107796,4.168933595486399,26.93117246603981,1,0,31
GRD,Grenada,2008,6,2008-06,2008-06-01,188.07063291437825,6.2690210971459415,86.51231707948416,96.83542993019111,138.31303732289678,31.7608749842249,72.23329609940082,3,1,30
GRD,Grenada,2008,7,2008-07,2008-07-01,370.9445522647976,11.96595329886444,83.04567044695774,125.47357159498796,192.1372369010735,52.80533187651108,74.71073970963451,8,3,31
GRD,Grenada,2008,8,2008-08,2008-08-01,148.98669233778344,4.806022333476885,46.317558408686125,84.59355615253946,85.83329032906747,30.539649595626585,43.905090209236285,3,0,31
GRD,Grenada,2008,9,2008-09,2008-09-01,226.04556255275727,7.534852085091909,69.64537272665594,108.70304266035474,114.54784132095143,39.09817481201559,63.79199131784021,3,1,30
GRD,Grenada,2008,10,2008-10,2008-10-01,331.6763964820065,10.699238596193759,81.81767313988581,165.20969745276363,190.0846712404675,44.17438756905406,70.82992451072938,9,1,31
GRD,Grenada,2008,11,2008-11,2008-11-01,340.73450292139785,11.357816764046595,105.7777859381782,183.3573178239223,311.41985563215155,72.73059831949448,101.6275909628116,5,2,30
GRD,Grenada,2008,12,2008-12,2008-12-01,129.64918660193746,4.18223182586895,18.319012556944898,31.96012388598954,42.639212261782674,14.944531789248265,17.775681974523327,0,0,31
GRD,Grenada,2009,1,2009-01,2009-01-01,323.2556169070942,10.427600545390135,319.0811068169471,319.0811068169471,319.0811068169471,2.087255045073547,224.60912779890685,1,1,31
