iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed
VGB,British Virgin Islands,2009,11,2009-11,2009-11-01,362.31087645627264,12.077029215209087,288.33736586730794,325.3241211617903,325.48881684078333,36.86735092721241,215.42180792773473,3,1,30
VGB,British Virgin Islands,2009,12,2009-12,2009-12-01,204.62491147671867,6.600803596023183,174.4871367741063,204.62491147671867,204.62491147671867,15.06888735130619,131.18232815265802,2,1,31
VGB,British Virgin Islands,2010,1,2010-01,2010-01-01,136.22637412934552,4.394399165462759,30.646062125284324,58.92459101018615,58.92459101018615,18.893410480857494,27.581580009158913,2,0,31
VGB,British Virgin Islands,2010,2,2010-02,2010-02-01,45.757258828038644,1.6341878152870943,11.8174545374698,33.27532867075302,35.463687842159494,10.923186702324417,11.698379492460717,0,0,28
VGB,British Virgin Islands,2010,3,2010-03,2010-03-01,98.66339136209469,3.182690043938538,24.676422014999485,46.085660265578724,59.18077868182453,18.003538900897738,24.554544818253618,2,0,31
VGB,British Virgin Islands,2010,4,2010-04,2010-04-01,105.17773003740677,3.505924334580226,39.50665027280073,54.498541460438354,63.77787986679895,11.307330047088982,31.383697845805507,1,0,30
VGB,British Virgin Islands,2010,5,2010-05,2010-05-01,248.80959567857298,8.026115989631386,64.98803397468008,81.28935120646983,108.27066863473527,43.35971178765968,63.41305562639223,4,2,31
VGB,British Virgin Islands,2010,6,2010-06,2010-06-01,317.7254229839649,10.59084743279883,82.55257078323444,130.5144567631904,171.97288411984817,45.035329599471766,72.52127219028371,7,1,30
VGB,British Virgin Islands,2010,7,2010-07,2010-07-01,251.19934649468675,8.103204725635056,56.66227237771568,109.10143890918208,151.37101005363107,32.61550039456145,50.7608060200836,4,1,31
VGB,British Virgin Islands,2010,8,2010-08,2010-08-01,184.99863666574956,5.967697956959663,61.44503424426923,109.60643319625376,109.60643319625375,39.60385806256159,57.45994365658381,4,1,31
VGB,British Virgin Islands,2010,9,2010-09,2010-09-01,115.37753062219444,3.8459176874064815,39.86663288910871,115.61398761572546,125.01286295323278,20.837200053563624,35.42412284507566,2,0,30
VGB,British Virgin Islands,2010,10,2010-10,2010-10-01,393.6719569717361,12.699095386185036,109.7419485485521,253.41185103194505,305.02796093844006,77.39459438031766,101.7056352396681,5,4,31
VGB,British Virgin Islands,2010,11,2010-11,2010-11-01,249.37845355030427,8.312615118343476,58.62179577019691,132.04202806725922,189.2913673859348,42.40948301833575,55.2378844878073,7,1,30
VGB,British Virgin Islands,2010,12,2010-12,2010-12-01,72.8842462246333,2.351104716923655,13.159045276767431,23.16717512211322,23.16717512211322,11.865591916388787,12.8898293782953,0,0,31
