hazard,iso3,country,year,month,plot_date,policy_year,monthly_max_shake_proxy,monthly_sum_shake_proxy,monthly_max_mag_nearby,n_eq_nearby,has_payout,payout_amount_usd
earthquake,AIA,Anguilla,2014,11,2014-11-01,2014/15,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2014,12,2014-12-01,2014/15,162.4671462606343,162.4671462606343,5.6,1,0,0.0
earthquake,AIA,Anguilla,2015,1,2015-01-01,2014/15,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2015,2,2015-02-01,2014/15,29.614446957543976,29.614446957543976,4.6,1,0,0.0
earthquake,AIA,Anguilla,2015,3,2015-03-01,2014/15,120.97687755309347,120.97687755309347,4.6,1,0,0.0
earthquake,AIA,Anguilla,2015,4,2015-04-01,2014/15,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2015,5,2015-05-01,2014/15,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2015,6,2015-06-01,2015/16,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2015,7,2015-07-01,2015/16,16.71280910172898,16.71280910172898,4.5,1,0,0.0
earthquake,AIA,Anguilla,2015,8,2015-08-01,2015/16,108.41844891886431,145.61103380846947,4.8,2,0,0.0
earthquake,AIA,Anguilla,2015,9,2015-09-01,2015/16,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2015,10,2015-10-01,2015/16,70.73927736066051,70.73927736066051,4.6,1,0,0.0
earthquake,AIA,Anguilla,2015,11,2015-11-01,2015/16,36.6774698570549,36.6774698570549,4.8,1,0,0.0
earthquake,AIA,Anguilla,2015,12,2015-12-01,2015/16,65.59735812822741,65.59735812822741,5.6,1,0,0.0
earthquake,AIA,Anguilla,2016,1,2016-01-01,2015/16,89.11574793353243,146.16163759411828,4.8,2,0,0.0
earthquake,AIA,Anguilla,2016,2,2016-02-01,2015/16,26.958879574577345,26.958879574577345,4.9,1,0,0.0
earthquake,AIA,Anguilla,2016,3,2016-03-01,2015/16,286.60493181701804,416.4849066291542,6.0,3,0,0.0
earthquake,AIA,Anguilla,2016,4,2016-04-01,2015/16,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2016,5,2016-05-01,2015/16,127.98830262953506,346.2653998277182,4.9,3,0,0.0
earthquake,AIA,Anguilla,2016,6,2016-06-01,2016/17,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2016,7,2016-07-01,2016/17,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2016,8,2016-08-01,2016/17,82.5149860315703,82.5149860315703,4.5,1,0,0.0
earthquake,AIA,Anguilla,2016,9,2016-09-01,2016/17,22.08078763334813,22.08078763334813,4.5,1,0,0.0
earthquake,AIA,Anguilla,2016,10,2016-10-01,2016/17,91.41469880694756,220.97803355353585,5.6,3,0,0.0
earthquake,AIA,Anguilla,2016,11,2016-11-01,2016/17,60.20267795233151,81.17619892060293,4.8,2,0,0.0
earthquake,AIA,Anguilla,2016,12,2016-12-01,2016/17,48.20312398932203,65.11968875633319,4.6,2,0,0.0
earthquake,AIA,Anguilla,2017,1,2017-01-01,2016/17,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2017,2,2017-02-01,2016/17,80.10228159852763,80.10228159852763,5.8,1,0,0.0
earthquake,AIA,Anguilla,2017,3,2017-03-01,2016/17,117.47430209640524,117.47430209640524,4.5,1,0,0.0
earthquake,AIA,Anguilla,2017,4,2017-04-01,2016/17,208.45541065863225,352.5348177733944,5.6,3,0,0.0
earthquake,AIA,Anguilla,2017,5,2017-05-01,2016/17,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2017,6,2017-06-01,2017/18,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2017,7,2017-07-01,2017/18,63.60881835909189,95.90133090202904,4.7,2,0,0.0
earthquake,AIA,Anguilla,2017,8,2017-08-01,2017/18,49.836861256882266,49.836861256882266,4.8,1,0,0.0
earthquake,AIA,Anguilla,2017,9,2017-09-01,2017/18,94.5283024536827,113.94285382555664,4.6,2,0,0.0
earthquake,AIA,Anguilla,2017,10,2017-10-01,2017/18,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2017,11,2017-11-01,2017/18,143.675456128225,143.675456128225,4.8,1,0,0.0
earthquake,AIA,Anguilla,2017,12,2017-12-01,2017/18,221.25223904354328,221.25223904354328,4.8,1,0,0.0
earthquake,AIA,Anguilla,2018,1,2018-01-01,2017/18,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2018,2,2018-02-01,2017/18,226.24611142905056,301.76722235028706,5.2,2,0,0.0
earthquake,AIA,Anguilla,2018,3,2018-03-01,2017/18,59.21329416040303,59.21329416040303,4.5,1,0,0.0
earthquake,AIA,Anguilla,2018,4,2018-04-01,2017/18,111.8432890882793,350.68535011453497,4.9,4,0,0.0
earthquake,AIA,Anguilla,2018,5,2018-05-01,2017/18,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2018,6,2018-06-01,2018/19,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2018,7,2018-07-01,2018/19,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2018,8,2018-08-01,2018/19,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2018,9,2018-09-01,2018/19,49.29009380967672,49.29009380967672,5.4,1,0,0.0
earthquake,AIA,Anguilla,2018,10,2018-10-01,2018/19,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2018,11,2018-11-01,2018/19,93.6945743397632,152.55913356476034,4.9,2,0,0.0
earthquake,AIA,Anguilla,2018,12,2018-12-01,2018/19,17.714957040347276,17.714957040347276,4.6,1,0,0.0
earthquake,AIA,Anguilla,2019,1,2019-01-01,2018/19,35.25753837511856,35.25753837511856,4.5,1,0,0.0
earthquake,AIA,Anguilla,2019,2,2019-02-01,2018/19,95.3332156693024,95.3332156693024,4.8,1,0,0.0
earthquake,AIA,Anguilla,2019,3,2019-03-01,2018/19,41.0905895021201,41.0905895021201,4.6,1,0,0.0
earthquake,AIA,Anguilla,2019,4,2019-04-01,2018/19,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2019,5,2019-05-01,2018/19,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2019,6,2019-06-01,2019/20,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2019,7,2019-07-01,2019/20,36.670704396437664,36.670704396437664,4.6,1,0,0.0
earthquake,AIA,Anguilla,2019,8,2019-08-01,2019/20,182.6620357039251,182.6620357039251,4.9,1,0,0.0
earthquake,AIA,Anguilla,2019,9,2019-09-01,2019/20,115.7556588361449,246.43381343382407,6.0,5,0,0.0
earthquake,AIA,Anguilla,2019,10,2019-10-01,2019/20,122.32059764525827,207.16314386006536,4.96,2,0,0.0
earthquake,AIA,Anguilla,2019,11,2019-11-01,2019/20,29.9195595633118,29.9195595633118,4.78,1,0,0.0
earthquake,AIA,Anguilla,2019,12,2019-12-01,2019/20,44.676813509421855,152.27750266630989,5.0,4,0,0.0
earthquake,AIA,Anguilla,2020,1,2020-01-01,2019/20,232.4513064687932,1614.2824153176125,6.4,32,0,0.0
earthquake,AIA,Anguilla,2020,2,2020-02-01,2019/20,50.29223141163733,166.04415619879217,5.0,4,0,0.0
earthquake,AIA,Anguilla,2020,3,2020-03-01,2019/20,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2020,4,2020-04-01,2019/20,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2020,5,2020-05-01,2019/20,76.79648352690475,123.94881913002874,5.4,3,0,0.0
earthquake,AIA,Anguilla,2020,6,2020-06-01,2020/21,34.241938467269925,108.94749236187576,4.8,4,0,0.0
earthquake,AIA,Anguilla,2020,7,2020-07-01,2020/21,58.55398647540581,119.29393445325928,5.3,3,0,0.0
earthquake,AIA,Anguilla,2020,8,2020-08-01,2020/21,38.03287394312636,55.3275940144583,4.8,2,0,0.0
earthquake,AIA,Anguilla,2020,9,2020-09-01,2020/21,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2020,10,2020-10-01,2020/21,275.1779858113755,529.1446786303577,5.3,3,0,0.0
earthquake,AIA,Anguilla,2020,11,2020-11-01,2020/21,84.16658866555245,178.04844674840706,4.71,3,0,0.0
earthquake,AIA,Anguilla,2020,12,2020-12-01,2020/21,53.77636966609735,121.77918707059244,4.8,3,0,0.0
earthquake,AIA,Anguilla,2021,1,2021-01-01,2020/21,332.61413000030353,332.61413000030353,5.4,1,0,0.0
earthquake,AIA,Anguilla,2021,2,2021-02-01,2020/21,135.2096400432116,135.2096400432116,4.99,1,0,0.0
earthquake,AIA,Anguilla,2021,3,2021-03-01,2020/21,176.75202928498976,327.76411783090435,5.8,3,0,0.0
earthquake,AIA,Anguilla,2021,4,2021-04-01,2020/21,97.2280247883776,97.2280247883776,4.5,1,0,0.0
earthquake,AIA,Anguilla,2021,5,2021-05-01,2020/21,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2021,6,2021-06-01,2021/22,143.21366782979115,143.21366782979115,4.6,1,0,0.0
earthquake,AIA,Anguilla,2021,7,2021-07-01,2021/22,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2021,8,2021-08-01,2021/22,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2021,9,2021-09-01,2021/22,68.62426168486415,136.1157703207469,4.8,2,0,0.0
earthquake,AIA,Anguilla,2021,10,2021-10-01,2021/22,96.56917588433458,176.6921093550772,4.8,2,0,0.0
earthquake,AIA,Anguilla,2021,11,2021-11-01,2021/22,225.90055316632092,225.90055316632092,5.0,1,0,0.0
earthquake,AIA,Anguilla,2021,12,2021-12-01,2021/22,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2022,1,2022-01-01,2021/22,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2022,2,2022-02-01,2021/22,90.50529415308876,90.50529415308876,5.0,1,0,0.0
earthquake,AIA,Anguilla,2022,3,2022-03-01,2021/22,43.049502152602265,43.049502152602265,4.5,1,0,0.0
earthquake,AIA,Anguilla,2022,4,2022-04-01,2021/22,24.19484871388051,24.19484871388051,4.6,1,0,0.0
earthquake,AIA,Anguilla,2022,5,2022-05-01,2021/22,320.4793863756903,560.244214448957,5.5,4,0,0.0
earthquake,AIA,Anguilla,2022,6,2022-06-01,2022/23,323.7682342222469,416.8697922990088,5.1,2,0,0.0
earthquake,AIA,Anguilla,2022,7,2022-07-01,2022/23,17.624956332338055,17.624956332338055,4.5,1,0,0.0
earthquake,AIA,Anguilla,2022,8,2022-08-01,2022/23,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2022,9,2022-09-01,2022/23,179.7323199474963,217.38769810774835,5.2,2,0,0.0
earthquake,AIA,Anguilla,2022,10,2022-10-01,2022/23,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2022,11,2022-11-01,2022/23,65.1447062357254,101.42561426321367,5.0,2,0,0.0
earthquake,AIA,Anguilla,2022,12,2022-12-01,2022/23,127.40389017610892,512.64927528287,5.2,6,0,0.0
earthquake,AIA,Anguilla,2023,1,2023-01-01,2022/23,306.36614960427625,426.1988237938896,6.1,2,0,0.0
earthquake,AIA,Anguilla,2023,2,2023-02-01,2022/23,170.56134049723963,345.28643757229304,4.6,4,0,0.0
earthquake,AIA,Anguilla,2023,3,2023-03-01,2022/23,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2023,4,2023-04-01,2022/23,170.62474154703514,236.7949469553801,5.2,3,0,0.0
earthquake,AIA,Anguilla,2023,5,2023-05-01,2022/23,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2023,6,2023-06-01,2023/24,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2023,7,2023-07-01,2023/24,464.7680337073941,464.7680337073941,6.6,1,0,0.0
earthquake,AIA,Anguilla,2023,8,2023-08-01,2023/24,64.24938674186822,64.24938674186822,4.5,1,0,0.0
earthquake,AIA,Anguilla,2023,9,2023-09-01,2023/24,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2023,10,2023-10-01,2023/24,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2023,11,2023-11-01,2023/24,198.33746991021667,198.33746991021667,4.9,1,0,0.0
earthquake,AIA,Anguilla,2023,12,2023-12-01,2023/24,406.1326214742248,679.4840988605433,5.7,5,0,0.0
earthquake,AIA,Anguilla,2024,1,2024-01-01,2023/24,79.03704444246571,228.0408935854309,4.6,3,0,0.0
earthquake,AIA,Anguilla,2024,2,2024-02-01,2023/24,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2024,3,2024-03-01,2023/24,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2024,4,2024-04-01,2023/24,121.11616907859607,121.11616907859607,4.9,1,0,0.0
