hazard,iso3,country,year,month,plot_date,policy_year,monthly_total_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,population_weight_year,n_days_observed,monthly_mean_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,has_payout,payout_amount_usd
rain,HND,Honduras,2009,5,2009-05-01,2008/09,151.6928150319645,12.624688910204387,26.83520589849787,42.16231317524061,11.232944966089054,12.333342940917818,2015,31,4.8933166139343385,0,0,0,0.0
rain,HND,Honduras,2009,6,2009-06-01,2009/10,223.76184008072505,25.27436335739897,59.38137836672142,83.4289331967553,20.01206357134564,24.6049480271057,2015,30,7.458728002690834,2,0,0,0.0
rain,HND,Honduras,2009,7,2009-07-01,2009/10,130.9017730923072,12.777354855620471,25.001933465972733,40.2469056796995,10.724929644515353,12.311572573050272,2015,31,4.2226378416873285,0,0,0,0.0
rain,HND,Honduras,2009,8,2009-08-01,2009/10,148.11391268748665,14.391008118809497,31.878114273997863,40.96278717920861,9.919141397797596,13.121763700447817,2015,31,4.777868151209247,0,0,0,0.0
rain,HND,Honduras,2009,9,2009-09-01,2009/10,118.58648387728329,11.79392098190498,23.76878004985701,40.06055722393014,10.668133234377848,11.697415581628263,2015,30,3.952882795909443,0,0,0,0.0
rain,HND,Honduras,2009,10,2009-10-01,2009/10,118.5881731079154,21.00740043241341,36.619800993804056,37.962597121042585,15.61155868326819,20.770430942945385,2015,31,3.825424938965013,2,0,0,0.0
rain,HND,Honduras,2009,11,2009-11-01,2009/10,201.8590249951989,71.19526493756503,120.98357588137902,133.234262066429,29.667515678558647,59.3625848784789,2015,30,6.728634166506629,4,1,0,0.0
rain,HND,Honduras,2009,12,2009-12-01,2009/10,75.58401899444482,57.36824687134907,61.764353240442624,65.8804152040524,3.1576534744008424,41.19676990213193,2015,31,2.4381941611111237,1,1,0,0.0
rain,HND,Honduras,2010,1,2010-01-01,2009/10,77.8567243110598,9.043926872100508,20.29926262100261,35.93902154759313,8.064722318768752,8.886984641167832,2015,31,2.511507235840639,0,0,0,0.0
rain,HND,Honduras,2010,2,2010-02-01,2009/10,42.987896387070506,10.206864690174145,12.596930829271049,13.195480464593714,5.749662097148539,9.084384184003598,2015,28,1.5352820138239467,0,0,0,0.0
rain,HND,Honduras,2010,3,2010-03-01,2009/10,27.81297365039848,8.097146537254524,11.649502913489682,11.653139603833417,4.163430919345951,7.039435817025083,2015,31,0.897192698399951,0,0,0,0.0
rain,HND,Honduras,2010,4,2010-04-01,2009/10,112.68762015095172,17.8631132548869,43.1297768274149,50.697797310753074,15.600691026570454,17.360911495117723,2015,30,3.756254005031724,0,0,0,0.0
rain,HND,Honduras,2010,5,2010-05-01,2009/10,285.93561195713914,36.28264522946063,69.28335775491962,112.04651705776152,31.353081838387748,36.15464278299446,2015,31,9.22372941797223,6,0,0,0.0
rain,HND,Honduras,2010,6,2010-06-01,2010/11,191.6490128512528,36.0620679617185,56.4225688394235,63.15478008623043,14.279125875001055,30.287606160267813,2015,30,6.388300428375094,1,0,0,0.0
rain,HND,Honduras,2010,7,2010-07-01,2010/11,284.78676664985124,27.073465188607,45.156691254314026,70.10941427149056,17.894216063145116,24.65393631412924,2015,31,9.186669891930686,1,0,0,0.0
rain,HND,Honduras,2010,8,2010-08-01,2010/11,264.2743994531899,17.71998832858816,43.57295346479553,61.97489146637302,16.665886848375052,17.591701875267916,2015,31,8.524980627522256,0,0,0,0.0
rain,HND,Honduras,2010,9,2010-09-01,2010/11,290.2386403666816,34.45863420830886,68.50315695133193,104.96028339385528,24.927613076889983,32.027103636685474,2015,30,9.674621345556051,3,0,0,0.0
rain,HND,Honduras,2010,10,2010-10-01,2010/11,136.0289079846512,46.6633902652268,59.47116359704732,95.92829003957068,16.258201585615435,38.796125308961,2015,31,4.388029289827458,2,0,0,0.0
rain,HND,Honduras,2010,11,2010-11-01,2010/11,75.47578464398806,29.10930759773281,60.204634205417705,60.44850962392939,15.638071581484128,25.438614757665487,2015,30,2.5158594881329357,1,0,0,0.0
rain,HND,Honduras,2010,12,2010-12-01,2010/11,56.43483576490715,8.891341376827578,18.56381146160989,21.49526444511532,6.539791284390716,8.316223191049374,2015,31,1.820478573061521,0,0,0,0.0
rain,HND,Honduras,2011,1,2011-01-01,2010/11,80.3116339088255,36.69002747562531,47.727936287333584,48.400531133105325,7.846968709506758,28.342392249253777,2015,31,2.590697868026629,1,0,0,0.0
rain,HND,Honduras,2011,2,2011-02-01,2010/11,47.80116094538374,6.850847989088562,16.708001545425248,40.97561212437356,5.690657031392226,6.649214556980542,2015,28,1.7071843194779908,0,0,0,0.0
rain,HND,Honduras,2011,3,2011-03-01,2010/11,28.19248133237951,4.880701623834449,9.58766327682898,11.54783682967428,3.8601765247647446,4.718218772357574,2015,31,0.9094348816896616,0,0,0,0.0
rain,HND,Honduras,2011,4,2011-04-01,2010/11,43.614325763126445,9.85400466632959,17.938987524737446,24.79570049302608,6.990193342646595,9.33321505552134,2015,30,1.4538108587708816,0,0,0,0.0
rain,HND,Honduras,2011,5,2011-05-01,2010/11,143.36148971476933,26.577591307604735,56.13041745295629,73.17114193942612,14.776413072675776,23.04412031483884,2015,31,4.624564184347398,1,0,0,0.0
rain,HND,Honduras,2011,6,2011-06-01,2011/12,225.48719194512825,18.31513096608385,44.037733491416446,66.00464764344672,16.494368557415157,17.880687586900542,2015,30,7.516239731504274,0,0,0,0.0
rain,HND,Honduras,2011,7,2011-07-01,2011/12,259.50732761066433,19.45177498710536,48.1912874265612,66.86644046440387,17.85890784451741,19.26695924091872,2015,31,8.371204116473043,0,0,0,0.0
rain,HND,Honduras,2011,8,2011-08-01,2011/12,168.2917864962766,14.416193442163236,33.18375091862387,50.87830730835684,13.704300777090754,14.232331097395472,2015,31,5.428767306331504,0,0,0,0.0
rain,HND,Honduras,2011,9,2011-09-01,2011/12,193.4697469698836,15.265167735196805,28.362736865616498,46.27142549938072,11.73584133152261,14.279906273312568,2015,30,6.448991565662785,0,0,0,0.0
rain,HND,Honduras,2011,10,2011-10-01,2011/12,279.5637889729284,33.242180548368026,72.87659960281556,109.41100142529412,25.965964525001223,31.909390346262725,2015,31,9.018186741062204,5,0,0,0.0
rain,HND,Honduras,2011,11,2011-11-01,2011/12,104.04656794700853,33.897224153917115,51.68218320470629,66.81836795679594,15.102448683686251,28.70353595665181,2015,30,3.468218931566951,1,0,0,0.0
rain,HND,Honduras,2011,12,2011-12-01,2011/12,81.62386699894249,19.778782884200936,29.02342521462224,35.64693127062374,10.775205978357342,17.79111440642776,2015,31,2.633027967707822,0,0,0,0.0
rain,HND,Honduras,2012,1,2012-01-01,2011/12,53.31695532427551,19.997551434573825,25.018618269262248,26.172461262724354,9.214243408889642,17.131808143434778,2015,31,1.7199017846540487,0,0,0,0.0
rain,HND,Honduras,2012,2,2012-02-01,2011/12,54.769722632026905,20.95108751824144,30.40875743608672,40.8548054131131,12.468810946834038,18.657819958003888,2015,29,1.888611125242307,1,0,0,0.0
rain,HND,Honduras,2012,3,2012-03-01,2011/12,31.390034208037704,16.78743964597749,20.16986682844778,21.906703363122464,3.017668282973127,12.732581899660154,2015,31,1.0125817486463775,0,0,0,0.0
rain,HND,Honduras,2012,4,2012-04-01,2011/12,70.438631800742,14.684867147913328,25.38565681333145,30.241188721057547,11.303712402950335,13.876009898416893,2015,30,2.3479543933580667,0,0,0,0.0
rain,HND,Honduras,2012,5,2012-05-01,2011/12,214.99868557665368,21.01242933808124,48.20540026657034,68.66899285392542,15.33924110758733,19.58059373129861,2015,31,6.935441470214634,1,0,0,0.0
rain,HND,Honduras,2012,6,2012-06-01,2012/13,198.28398932691803,20.15363377263488,41.57825356164657,59.25415350345691,15.46116791648648,19.19587015997997,2015,30,6.609466310897267,1,0,0,0.0
rain,HND,Honduras,2012,7,2012-07-01,2012/13,130.6294617819634,17.399835662251387,31.42612304133221,40.16231323719077,14.152209118622697,17.351905961487862,2015,31,4.213853605869787,0,0,0,0.0
rain,HND,Honduras,2012,8,2012-08-01,2012/13,251.32076045850224,25.414018673480854,52.00657350194625,74.46569684531043,21.09469791923241,24.293878913681574,2015,31,8.107121305112976,3,0,0,0.0
rain,HND,Honduras,2012,9,2012-09-01,2012/13,148.65773612230817,15.547768875632894,42.42175772475531,67.71362612002326,13.42596470813561,15.289130173034224,2015,30,4.955257870743606,0,0,0,0.0
rain,HND,Honduras,2012,10,2012-10-01,2012/13,211.83181348656137,35.53680887579342,72.43599859098506,81.74160993248822,26.025322765663677,33.03543262356511,2015,31,6.8332843060181085,3,0,0,0.0
rain,HND,Honduras,2012,11,2012-11-01,2012/13,94.66751318459248,36.08282751155368,66.04464387485649,67.24470127155737,20.257962358365173,33.15190430399341,2015,30,3.155583772819749,2,0,0,0.0
rain,HND,Honduras,2012,12,2012-12-01,2012/13,78.64864814640558,15.227569415028524,33.03873234710597,73.10718046061663,8.911768220734741,13.51004584892621,2015,31,2.537053166013083,0,0,0,0.0
rain,HND,Honduras,2013,1,2013-01-01,2012/13,59.218470833227045,21.95138112947404,24.083346714454837,29.69344984323198,5.855909650975994,17.2092672871986,2015,31,1.9102732526847437,1,0,0,0.0
rain,HND,Honduras,2013,2,2013-02-01,2012/13,26.45187854420193,6.430040236095647,10.86075787182322,12.178824425409688,5.475275585494026,6.205659320044183,2015,28,0.944709948007212,0,0,0,0.0
rain,HND,Honduras,2013,3,2013-03-01,2012/13,49.0357182971682,18.97880394373165,29.354472683548096,31.753200305311577,5.18783436990822,14.995404989967472,2015,31,1.5817973644247807,0,0,0,0.0
rain,HND,Honduras,2013,4,2013-04-01,2012/13,24.279691660868203,8.233104553287907,11.439303379234376,11.596854685164573,4.196660037314049,7.30262546638878,2015,30,0.8093230553622734,0,0,0,0.0
rain,HND,Honduras,2013,5,2013-05-01,2012/13,179.4152164872821,50.25350649797955,54.05765379500605,66.89759114592079,18.929116366805445,42.14032215932018,2015,31,5.787587628622003,2,1,0,0.0
rain,HND,Honduras,2013,6,2013-06-01,2013/14,197.2375515468064,18.920455128006644,32.39392716493393,66.01718600796829,15.88667971447107,18.10491558889746,2015,30,6.574585051560212,0,0,0,0.0
rain,HND,Honduras,2013,7,2013-07-01,2013/14,117.35976785145152,9.401271449043197,29.1733965361756,39.45251785005589,9.31077462315038,9.398314266571289,2015,31,3.785798962950049,0,0,0,0.0
rain,HND,Honduras,2013,8,2013-08-01,2013/14,166.69106933506433,26.645286424137566,51.00249592671486,64.39649429801207,14.732633988611555,23.325738124682985,2015,31,5.377131268873042,1,0,0,0.0
rain,HND,Honduras,2013,9,2013-09-01,2013/14,357.3653434988563,32.23629296930073,77.86566508996683,116.16762267908383,30.81567139946192,32.04557983701272,2015,30,11.912178116628544,4,0,0,0.0
rain,HND,Honduras,2013,10,2013-10-01,2013/14,175.72451701483484,15.389159932165644,32.41251512064175,47.83855184002627,13.032440331225704,15.139782890490718,2015,31,5.668532806930156,0,0,0,0.0
rain,HND,Honduras,2013,11,2013-11-01,2013/14,165.57312118352476,44.2659402255621,66.800634961455,85.21953752268864,22.56286489692432,39.2310283918094,2015,30,5.519104039450825,2,0,0,0.0
rain,HND,Honduras,2013,12,2013-12-01,2013/14,73.02629645666072,29.65956491603501,36.86266172148843,40.94430699947807,5.1026840217803615,22.314692116778502,2015,31,2.3556869824729265,1,0,0,0.0
rain,HND,Honduras,2014,1,2014-01-01,2013/14,71.28069509617886,9.230898298089906,16.25261699644989,21.008483482117573,7.859060618327369,9.085952406615611,2015,31,2.29937726116706,0,0,0,0.0
rain,HND,Honduras,2014,2,2014-02-01,2013/14,40.98336399027172,8.337205040470797,11.33120720383246,13.404614831290177,6.127583957825653,7.773479910349363,2015,28,1.463691571081133,0,0,0,0.0
rain,HND,Honduras,2014,3,2014-03-01,2013/14,36.68325700992212,11.559980868803246,22.796922084488852,24.897984773752583,5.618470607842806,10.208910713066052,2015,31,1.1833308712878103,0,0,0,0.0
rain,HND,Honduras,2014,4,2014-04-01,2013/14,21.535414949370107,9.836383073628696,12.504057092985668,15.219374814701116,2.0520251711137627,7.602232691601296,2015,30,0.7178471649790036,0,0,0,0.0
rain,HND,Honduras,2014,5,2014-05-01,2013/14,125.5172473525753,34.25072939988672,55.2006977575468,68.2012486923905,14.988345683960889,29.75596809512888,2015,31,4.0489434629863,1,0,0,0.0
rain,HND,Honduras,2014,6,2014-06-01,2014/15,177.52471189235385,17.623893005444145,37.07606525090737,55.65202095012888,13.365597383745646,16.757623145935924,2015,30,5.917490396411795,0,0,0,0.0
rain,HND,Honduras,2014,7,2014-07-01,2014/15,75.40116499173307,9.363642550008954,19.06750003266133,28.257575334805168,9.093181955071657,9.347862209996862,2015,31,2.432295644894615,0,0,0,0.0
rain,HND,Honduras,2014,8,2014-08-01,2014/15,168.6943900403316,21.647794420821874,43.94628350896926,53.826155038112894,12.38310849813331,18.96575479267057,2015,31,5.441754517430051,1,0,0,0.0
rain,HND,Honduras,2014,9,2014-09-01,2014/15,229.0332435228478,16.011410921964487,40.97209013768673,61.91487330698753,14.458868079086283,15.713867787238753,2015,30,7.634441450761594,0,0,0,0.0
rain,HND,Honduras,2014,10,2014-10-01,2014/15,233.78330051098808,25.96187035421561,56.88145890794756,73.2354130572109,21.15044250556835,24.57333612196295,2015,31,7.541396790677035,3,0,0,0.0
rain,HND,Honduras,2014,11,2014-11-01,2014/15,179.0814865442386,67.0648844708086,93.63091292002711,97.6669989747534,40.41581304748999,64.39254234254402,2015,30,5.9693828848079535,2,2,0,0.0
rain,HND,Honduras,2014,12,2014-12-01,2014/15,77.41411185188007,12.63849117659662,17.971407290864274,23.51780794724082,8.49398882011787,11.657770439693142,2015,31,2.4972294145767764,0,0,0,0.0
rain,HND,Honduras,2015,1,2015-01-01,2014/15,69.74649759566127,11.262473993030415,19.40525648253506,23.96687184925577,9.135970383505514,11.029891245781837,2015,31,2.24988701921488,0,0,0,0.0
