hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_total_mm_pop,has_payout,payout_amount_usd
rain,JAM,Jamaica,2018,10,2018-10-01,2018/19,95.12882823036176,95.12882823036176,0,0.0
rain,JAM,Jamaica,2018,11,2018-11-01,2018/19,64.77823406375167,64.77823406375167,0,0.0
rain,JAM,Jamaica,2018,12,2018-12-01,2018/19,41.677569587356544,41.677569587356544,0,0.0
rain,JAM,Jamaica,2019,1,2019-01-01,2018/19,46.34798256046876,46.34798256046876,0,0.0
rain,JAM,Jamaica,2019,2,2019-02-01,2018/19,54.654676659765215,54.654676659765215,0,0.0
rain,JAM,Jamaica,2019,3,2019-03-01,2018/19,51.27354380460864,51.27354380460864,0,0.0
rain,JAM,Jamaica,2019,4,2019-04-01,2018/19,78.02803308330209,78.02803308330209,0,0.0
rain,JAM,Jamaica,2019,5,2019-05-01,2018/19,129.6409311234135,129.6409311234135,0,0.0
rain,JAM,Jamaica,2019,6,2019-06-01,2019/20,15.828737947195272,15.828737947195272,0,0.0
rain,JAM,Jamaica,2019,7,2019-07-01,2019/20,51.55039985566333,51.55039985566333,0,0.0
rain,JAM,Jamaica,2019,8,2019-08-01,2019/20,61.45832833301035,61.45832833301035,0,0.0
rain,JAM,Jamaica,2019,9,2019-09-01,2019/20,160.58548329456852,160.58548329456852,0,0.0
rain,JAM,Jamaica,2019,10,2019-10-01,2019/20,204.92103928541152,204.92103928541152,0,0.0
rain,JAM,Jamaica,2019,11,2019-11-01,2019/20,134.48171676819675,134.48171676819675,0,0.0
rain,JAM,Jamaica,2019,12,2019-12-01,2019/20,68.11037714755028,68.11037714755028,0,0.0
rain,JAM,Jamaica,2020,1,2020-01-01,2019/20,59.38937306370087,59.38937306370087,0,0.0
rain,JAM,Jamaica,2020,2,2020-02-01,2019/20,26.39213321803532,26.39213321803532,0,0.0
rain,JAM,Jamaica,2020,3,2020-03-01,2019/20,30.99917456680482,30.99917456680482,0,0.0
rain,JAM,Jamaica,2020,4,2020-04-01,2019/20,37.274991300467086,37.274991300467086,0,0.0
rain,JAM,Jamaica,2020,5,2020-05-01,2019/20,131.1939770828714,131.1939770828714,0,0.0
rain,JAM,Jamaica,2020,6,2020-06-01,2020/21,69.21955132957929,69.21955132957929,0,0.0
rain,JAM,Jamaica,2020,7,2020-07-01,2020/21,60.033535114099394,60.033535114099394,0,0.0
rain,JAM,Jamaica,2020,8,2020-08-01,2020/21,121.65650906019816,121.65650906019816,0,0.0
rain,JAM,Jamaica,2020,9,2020-09-01,2020/21,151.24992828255796,151.24992828255796,0,0.0
rain,JAM,Jamaica,2020,10,2020-10-01,2020/21,336.3186618374737,336.3186618374737,0,0.0
rain,JAM,Jamaica,2020,11,2020-11-01,2020/21,365.9620492101664,365.9620492101664,1,3500000.0
rain,JAM,Jamaica,2020,12,2020-12-01,2020/21,33.4905934388059,33.4905934388059,0,0.0
rain,JAM,Jamaica,2021,1,2021-01-01,2020/21,46.58482896627995,46.58482896627995,0,0.0
rain,JAM,Jamaica,2021,2,2021-02-01,2020/21,57.91796826098322,57.91796826098322,0,0.0
rain,JAM,Jamaica,2021,3,2021-03-01,2020/21,29.696550833220183,29.696550833220183,0,0.0
rain,JAM,Jamaica,2021,4,2021-04-01,2020/21,59.22317713403096,59.22317713403096,0,0.0
rain,JAM,Jamaica,2021,5,2021-05-01,2020/21,63.86742617140695,63.86742617140695,0,0.0
rain,JAM,Jamaica,2021,6,2021-06-01,2021/22,96.23072335544434,96.23072335544434,0,0.0
rain,JAM,Jamaica,2021,7,2021-07-01,2021/22,123.60602477987968,123.60602477987968,0,0.0
rain,JAM,Jamaica,2021,8,2021-08-01,2021/22,294.877051542462,294.877051542462,0,0.0
rain,JAM,Jamaica,2021,9,2021-09-01,2021/22,45.01669004871514,45.01669004871514,0,0.0
rain,JAM,Jamaica,2021,10,2021-10-01,2021/22,92.18095388801612,92.18095388801612,0,0.0
rain,JAM,Jamaica,2021,11,2021-11-01,2021/22,59.179300525217336,59.179300525217336,0,0.0
rain,JAM,Jamaica,2021,12,2021-12-01,2021/22,40.46668166775283,40.46668166775283,0,0.0
rain,JAM,Jamaica,2022,1,2022-01-01,2021/22,33.92074200968434,33.92074200968434,0,0.0
rain,JAM,Jamaica,2022,2,2022-02-01,2021/22,24.14989153180321,24.14989153180321,0,0.0
rain,JAM,Jamaica,2022,3,2022-03-01,2021/22,52.25270501704446,52.25270501704446,0,0.0
rain,JAM,Jamaica,2022,4,2022-04-01,2021/22,128.89669104963338,128.89669104963338,0,0.0
rain,JAM,Jamaica,2022,5,2022-05-01,2021/22,90.24970820696969,90.24970820696969,0,0.0
rain,JAM,Jamaica,2022,6,2022-06-01,2022/23,48.940906982177445,48.940906982177445,0,0.0
rain,JAM,Jamaica,2022,7,2022-07-01,2022/23,54.02342999580566,54.02342999580566,0,0.0
rain,JAM,Jamaica,2022,8,2022-08-01,2022/23,128.29681832201672,128.29681832201672,0,0.0
rain,JAM,Jamaica,2022,9,2022-09-01,2022/23,199.5527774604681,199.5527774604681,0,0.0
rain,JAM,Jamaica,2022,10,2022-10-01,2022/23,121.82899374525176,121.82899374525176,0,0.0
rain,JAM,Jamaica,2022,11,2022-11-01,2022/23,60.51781064315514,60.51781064315514,0,0.0
rain,JAM,Jamaica,2022,12,2022-12-01,2022/23,30.657575560040147,30.657575560040147,0,0.0
