hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_max_wind_kt,monthly_max_wind_mps,n_storms,storm_names,storm_ids,has_payout,payout_amount_usd
tc,BHS,Bahamas,2023,10,2023-10-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2023,11,2023-11-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2023,12,2023-12-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,1,2024-01-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,2,2024-02-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,3,2024-03-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,4,2024-04-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,5,2024-05-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,6,2024-06-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,7,2024-07-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,8,2024-08-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,9,2024-09-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,10,2024-10-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,11,2024-11-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,BHS,Bahamas,2024,12,2024-12-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,1,2017-01-01,2016/17,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,2,2017-02-01,2016/17,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,3,2017-03-01,2016/17,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,4,2017-04-01,2016/17,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,5,2017-05-01,2016/17,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,6,2017-06-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,7,2017-07-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,8,2017-08-01,2017/18,25.0,25.0,12.8611,1,HARVEY,2017228N14314,0,0.0
tc,BLZ,Belize,2017,9,2017-09-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,10,2017-10-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,11,2017-11-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2017,12,2017-12-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,1,2018-01-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,2,2018-02-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,3,2018-03-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,4,2018-04-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,5,2018-05-01,2017/18,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,6,2018-06-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,7,2018-07-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,8,2018-08-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
