country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm,date
Trinidad and Tobago,2021,1,2021-01,80.72716335319657,25.794582465866156,31.961652670185753,44.86371856984578,2021-01-01
Trinidad and Tobago,2021,2,2021-02,55.202075881688415,12.332434075356925,17.10513844853314,24.9594362369687,2021-02-01
Trinidad and Tobago,2021,3,2021-03,135.68832429868058,61.49751335636908,86.37134989949487,108.47926961905695,2021-03-01
Trinidad and Tobago,2021,4,2021-04,64.48028869362133,25.879984602883784,39.25172079855597,45.77623180626429,2021-04-01
Trinidad and Tobago,2021,5,2021-05,133.57588475542153,44.713069837723914,68.40320542799272,84.79952935967171,2021-05-01
Trinidad and Tobago,2021,6,2021-06,270.4286170325276,40.39917537816944,79.19613843631478,94.89574490114364,2021-06-01
Trinidad and Tobago,2021,7,2021-07,337.10246741503914,64.16423357630767,83.62818612202261,128.73319159289377,2021-07-01
Trinidad and Tobago,2021,8,2021-08,486.2105522387904,80.05070467955652,115.12298763987306,169.3152599076431,2021-08-01
Trinidad and Tobago,2021,9,2021-09,131.59774148162538,32.661262532438535,65.0307842188882,68.8098492985037,2021-09-01
Trinidad and Tobago,2021,10,2021-10,225.68427226295637,35.27681337671232,58.017969238095795,79.35552858506792,2021-10-01
Trinidad and Tobago,2021,11,2021-11,65.2341241750617,21.94478553794764,27.062492960054215,48.610281623113835,2021-11-01
Trinidad and Tobago,2021,12,2021-12,221.12713447852735,67.50867498857316,100.45423951556127,111.55492361632074,2021-12-01
Trinidad and Tobago,2022,1,2022-01,69.86502450770661,12.875356940313088,20.49386993956236,20.493869939562362,2022-01-01
Trinidad and Tobago,2022,2,2022-02,77.59181964242573,16.657864165125837,31.080308057543284,36.3823814650402,2022-02-01
Trinidad and Tobago,2022,3,2022-03,54.51551225360892,10.833476090415912,11.486430543425424,19.556805347897303,2022-03-01
Trinidad and Tobago,2022,4,2022-04,67.76333897112612,27.181514486151045,61.22330710240158,63.56567928321216,2022-04-01
Trinidad and Tobago,2022,5,2022-05,65.64352923144016,17.863082650065447,35.92174201883623,49.2647267954558,2022-05-01
Trinidad and Tobago,2022,6,2022-06,381.7436545262453,38.72919698415924,95.07252696768853,114.65208062572916,2022-06-01
Trinidad and Tobago,2022,7,2022-07,306.4500436747989,58.71492113275417,88.11133839756188,111.8020521784073,2022-07-01
Trinidad and Tobago,2022,8,2022-08,476.69078521235264,84.42145710438335,128.14650913109085,168.25120991344127,2022-08-01
Trinidad and Tobago,2022,9,2022-09,285.97391816426466,59.946753864033575,92.64725283270576,96.40799737178332,2022-09-01
Trinidad and Tobago,2022,10,2022-10,531.3514998782314,89.81784675314151,148.99972166050304,209.53431225540385,2022-10-01
Trinidad and Tobago,2022,11,2022-11,405.905072977452,53.028531812458276,125.88379302673948,188.76405012690415,2022-11-01
Trinidad and Tobago,2022,12,2022-12,90.21520802219649,28.197879402680368,46.8369119847102,82.32596347930306,2022-12-01
Trinidad and Tobago,2023,1,2023-01,140.03796643929044,46.108414331208984,103.10390838229085,121.75226537979859,2023-01-01
Trinidad and Tobago,2023,2,2023-02,91.63683647877943,14.921971200261684,28.36739494906848,39.19137095583884,2023-02-01
Trinidad and Tobago,2023,3,2023-03,31.736221738394107,9.175416877361382,12.386147271085477,16.344328665982008,2023-03-01
Trinidad and Tobago,2023,4,2023-04,118.49564783902083,49.75714486189946,86.92237797140534,109.66815552229914,2023-04-01
Trinidad and Tobago,2023,5,2023-05,96.53141968667583,34.722245973818374,44.31845014282643,46.06888474487299,2023-05-01
Trinidad and Tobago,2023,6,2023-06,244.3489599222281,58.82150261779059,116.21988701010957,126.68354018050827,2023-06-01
Trinidad and Tobago,2023,7,2023-07,223.46721207795994,39.23686207213175,77.58642540824447,88.67568537388253,2023-07-01
Trinidad and Tobago,2023,8,2023-08,207.73934318675043,40.05230609122494,78.17456530859252,115.93277202999732,2023-08-01
Trinidad and Tobago,2023,9,2023-09,115.79606531304276,29.500417268205005,45.511623435105555,67.62189315451141,2023-09-01
Trinidad and Tobago,2023,10,2023-10,123.31499993993143,25.95663380160247,40.916833492658306,49.71388594226227,2023-10-01
Trinidad and Tobago,2023,11,2023-11,249.4262945052889,62.24090846541563,86.9910068609254,120.41062999902461,2023-11-01
Trinidad and Tobago,2023,12,2023-12,98.56520893168394,19.669961534783543,43.48851738287997,56.30341247987719,2023-12-01
Trinidad and Tobago,2024,1,2024-01,79.86438823957504,12.750352622853086,21.094052447811663,28.38632072530243,2024-01-01
Trinidad and Tobago,2024,2,2024-02,38.39114917499537,10.01530916016316,10.373626873537399,19.928078407923074,2024-02-01
Trinidad and Tobago,2024,3,2024-03,58.90607705544334,18.4250751344131,27.303080853276096,27.303080853276096,2024-03-01
Trinidad and Tobago,2024,4,2024-04,61.01331880870737,25.54592492802629,42.939471217318285,53.95693311561727,2024-04-01
Trinidad and Tobago,2024,5,2024-05,102.27291492955679,29.374050782312292,31.380861684754763,31.488625599479573,2024-05-01
Trinidad and Tobago,2024,6,2024-06,259.6471946973541,39.4092512152749,63.01296488936854,86.10315492844886,2024-06-01
Trinidad and Tobago,2024,7,2024-07,193.1208769841864,31.93996473890889,70.14771933490353,94.59700831342018,2024-07-01
Trinidad and Tobago,2024,8,2024-08,246.69211375714534,56.71521722849989,64.49252793336744,81.10951012846596,2024-08-01
Trinidad and Tobago,2024,9,2024-09,210.92121444298604,51.733335110345244,72.84700066731537,86.35074885960938,2024-09-01
Trinidad and Tobago,2024,10,2024-10,171.17033009399188,20.221979595062198,39.66641546648439,58.96908768762118,2024-10-01
Trinidad and Tobago,2024,11,2024-11,283.86211149254825,54.85930108117134,86.83592910011757,129.78231513458434,2024-11-01
Trinidad and Tobago,2024,12,2024-12,162.53953320494844,64.03675860120684,68.39503766859505,70.14775696618808,2024-12-01
