hazard,index_name,iso3,country,policy_year,n_months,n_payout_months,optimal_threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,net_score,tp,fp,fn,tn,above_threshold_with_payout,above_threshold_no_payout,below_threshold_with_payout,below_threshold_no_payout,rdd_treated_n,rdd_untreated_5pct_n,rdd_untreated_10pct_n,near_below_5pct_n,near_tn_below_5pct,near_fn_below_5pct,near_below_payout_rate_5pct,near_below_10pct_n,near_tn_below_10pct,near_fn_below_10pct,near_below_payout_rate_10pct
rain,monthly_max_1d_mm_pop,GTM,Guatemala,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,GTM,Guatemala,2020/21,12,1,30.597864098873167,0.75,0.8636363636363636,0.25,1.0,0.7272727272727273,0.4,6.0,1.0,3.0,0.0,8.0,1.0,3.0,0.0,8.0,1.0,3.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_max_1d_mm_pop,GTM,Guatemala,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,GTM,Guatemala,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,GTM,Guatemala,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,GTM,Guatemala,2024/25,7,1,35.187679560369936,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_max_1d_mm_pop,HND,Honduras,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2014/15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2016/17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2017/18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2020/21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,HND,Honduras,2024/25,7,1,65.7715966325291,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2014/15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2016/17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2017/18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2020/21,12,1,72.47573444522278,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,NIC,Nicaragua,2024/25,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2014/15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2016/17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2017/18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2020/21,12,1,40.841797752580895,0.8333333333333334,0.9090909090909092,0.3333333333333333,1.0,0.8181818181818182,0.5,8.0,1.0,2.0,0.0,9.0,1.0,2.0,0.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_max_1d_mm_pop,PAN,Panama,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_1d_mm_pop,PAN,Panama,2024/25,7,1,38.37751868997656,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2014/15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2016/17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2017/18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2020/21,12,1,71.96472584089292,0.9166666666666666,0.9545454545454546,0.5,1.0,0.9090909090909091,0.6666666666666666,10.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,GTM,Guatemala,2024/25,7,1,73.4461300649138,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_max_3d_mm_pop,HND,Honduras,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,HND,Honduras,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,HND,Honduras,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,HND,Honduras,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_max_3d_mm_pop,HND,Honduras,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
